0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsall right welcome back to 161 this is lecture 11 we will continue today our
0:2525 secondsdiscussion on logic we started initially by talking about propositional logic today we will talk
0:3232 secondsabout the more advanced type of logic that's known as first-order logic sometimes this is also known by the
0:4141 secondsacronym fol it's also known as political calculus and we will see the reason for
0:4949 secondsthis particular name and just a little bit this is a quite influential logic not just in computer science and AI but
0:5858 secondseven before that but had played a role in philosophy and mathematics in fact some of you may have been exposed to it
1:071 minute, 7 secondsin these other contexts particularly philosophy if you've taken perhaps a
1:131 minute, 13 secondscourse on critical thinking and so on in fact when we talked about logic and motivated in the first lecture on the
1:211 minute, 21 secondssubject in this course we talked about McCarthy's proposal which called for representing the process of reasoning
1:301 minute, 30 secondsusing deduction and we mentioned that you would have a knowledge base which contains some statements and logic you
1:371 minute, 37 secondspass it to thinking engine which performs logical deduction as a way of
1:461 minute, 46 secondsmodeling this thinking process that that original proposal of McCarthy was based on official logic which as we mentioned
1:541 minute, 54 secondsis more expressive and you'll see more succinct and propositional logic there
2:032 minutes, 3 secondswas a lot of developments in AI a lot of focus on first-order logic in the first few decades so there was a lot of
2:102 minutes, 10 secondsresults and you'll see that the main challenge despite these advantages the main challenge with first-order logic is
2:182 minutes, 18 secondsactually computational in due to that people have also developed
2:252 minutes, 25 secondssome restrictions of first-order logic that kind of sits in between propositional logic and full-fledged
2:332 minutes, 33 secondsfirst-order logic and those are commonly used today particularly because due to these restrictions one can take
2:432 minutes, 43 secondsstatements and this restricted form of first-order logic and actually convert them to propositional logic and then use
2:502 minutes, 50 secondspropositional logic machinery to do the reason we will discuss this next time in
2:552 minutes, 55 secondssome detail but before I do that let me just very quickly give you a motivating
3:033 minutes, 3 secondsexample for what you may expect from today's discussion and this is in relation to the Wampus world example
3:113 minutes, 11 secondsthat we discussed at the beginning of propositional logic if you recall we had a grid there and there were these cells
3:193 minutes, 19 secondsor squares and then we had a whimpers there and we wanted to state various facts about it so when we did it in
3:263 minutes, 26 secondspropositional logic we had to go and give different propositional variables
3:333 minutes, 33 secondsto present various things that may happen in these cells so we would go
3:393 minutes, 39 secondsahead and say that breezy 2 3 and maybe 1 plus 1 1 and these were propositional
3:483 minutes, 48 secondsvariables that were either true or false that will indicate whether we have a please and the same 2 3 whether there is olympus in cell 1 1 and as you can
3:573 minutes, 57 secondsimagine you will have quite a number of variables in this particular case and when you are representing something like
4:054 minutes, 5 secondsif there was let's say fit in the cell then the adjacent ones will have a breeze we would have to repeat that
4:134 minutes, 13 secondsstatements for each one of these cells if you were to use first-order logic in this case and I'm just gonna write it
