0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsright so let's get started with our second lecture on first-order logic in which we will discuss the subject of
0:2727 secondsinference we will have a few topics that we will cover today the very first one would be reducing
0:3535 secondsinference and first-order logic to inference in propositional logic and we
0:4343 secondswill see that I mentioned and this is actually common today and it is
0:5050 secondsparticularly effective for subsets of the logics we'll talk more about this later
0:5656 secondsand then we will discuss a method or a couple of methods for doing inference
1:041 minute, 4 secondsdirectly on first-order logic sentences you may want to think of these as simple
1:121 minute, 12 secondsor restricted methods they are not too general one of them is called forward
1:231 minute, 23 secondschaining and the second is backward chaining and we see that these are
1:291 minute, 29 secondstypically applied to restricted subsets of first-order logic and that's
1:361 minute, 36 secondssomething we will discuss will be the general method of resolution which we
1:441 minute, 44 secondsalso discussed in the propositional setting but you will see that when we do this in the first of the level things
1:521 minute, 52 secondsget a little bit more interesting so the same ideas there but we'll have to add some new components for that to actually
2:012 minutes, 1 secondapply in this particular context alright so we will basically do the first two items in the first part of the lecture
2:092 minutes, 9 secondsand then we will dedicate the second part of the lecture to resolution so let's get started with this guy here and
2:182 minutes, 18 secondsyou will see that this will be based on two concepts that we will have to do
2:252 minutes, 25 secondsone is known as universal instantiation and the other one is known as existential instantiation so let's go
2:332 minutes, 33 secondsahead and discuss these next all right so Universal instantiation is basically a rule about taking a
2:412 minutes, 41 secondsuniversally quantified sentence and then replacing it with propositional
2:482 minutes, 48 secondssentences so let me illustrate this first with a concrete example and then
2:552 minutes, 55 secondswe'll give you the general rule so if you have this particular first order statement that says that for all X King
3:023 minutes, 2 secondsX and greedy X implies evil acts and
3:073 minutes, 7 secondslet's say that we basically have two particularly constants one of them is
3:163 minutes, 16 secondsJohn and the other one is Richard and let's say we have one function something which is father so the idea is this is
3:253 minutes, 25 secondssame for all X king X and px equal X then that applies to John so then I can
3:323 minutes, 32 secondsgo ahead and write King John and greedy alright but then I can do the same thing for Richard and in that case I will get
3:413 minutes, 41 secondsthe following statement and moreover now I can do more because now I can apply
3:493 minutes, 49 secondsthe function father and create even more instances of this particular first-order
3:583 minutes, 58 secondsstatement what we did here is basically created yet another way of instantiating
4:064 minutes, 6 secondsthe variable X now one thing about this is that as you can see in this case you can go on further so you could talk
4:144 minutes, 14 secondsabout the father of John but then you could talk about the father of the father of John and in principle you may
4:204 minutes, 20 secondshave an infinite number of instances now we're going to get to that later but here I want to
4:294 minutes, 29 secondssure that I cover two concepts the first concept is this notion of a ground term
4:364 minutes, 36 secondsnow we know what the term is if you remember when we discussed term we said that's either a variable X or a constant
4:464 minutes, 46 secondsor a function applied to terms right now so what is a ground term a ground term is a term that does not happen so I
4:554 minutes, 55 secondscannot have this and then if I have one of these guys here they also have to be ground and you've seen examples of that
5:045 minutes, 4 secondshere so constants are ground terms this is a grantor right because it's a function symbol and applied to a ground
5:135 minutes, 13 secondsterm which happens to be rich in this case and so on so more generally what
5:215 minutes, 21 secondsthis rule looks like it goes like this is for all X alpha what you will have to
5:285 minutes, 28 secondsdo is do a substitution where you
5:345 minutes, 34 secondsreplace the variable X by G in alpha
5:395 minutes, 39 secondsright and in this case G is a ground now as we said you may have an infinite
5:485 minutes, 48 secondsnumber of ground terms and that happens when you have functions symptoms one interesting restriction and you'd hear it again later is when I do not
5:575 minutes, 57 secondsallow function symbols so only constants and in that case you can actually bound the number of ground terms and that's one of these sections that people use on
6:066 minutes, 6 secondsfirst-order logic in some cases and we'll actually see that later so this is basically the general rule here now
